part1_comp1,part1_comp0.5,part0.5_comp1,part0.5_comp0.5
0.953932,0.914132,0.476966,0.457066
0.914132,0.7945320000000001,0.457066,0.397266
0.8609986666666665,0.6391106666666666,0.43049933333333323,0.3195553333333333
0.7945320000000001,0.5011999999999995,0.397266,0.2505999999999998
0.7173192000000024,0.40098020000000234,0.3586596000000011,0.20049010000000123
0.6391106666666666,0.3341501666666675,0.3195553333333333,0.16707508333333376
0.5660474285714299,0.2864144285714294,0.2830237142857148,0.1432072142857147
0.5011999999999995,0.25061262500000003,0.2505999999999998,0.12530631250000013
0.44553355555556085,0.22276677777777965,0.22276677777778042,0.11138338888888977
0.40098020000000234,0.20049010000000167,0.20049010000000123,0.10024505000000072
0.3645274545454573,0.18226372727272844,0.18226372727272877,0.09113186363636416
0.3341501666666675,0.16707508333333443,0.16707508333333376,0.08353754166666716
0.3084463076923101,0.1542231538461558,0.15422315384615515,0.0771115769230779
0.2864144285714294,0.1432072142857148,0.1432072142857147,0.0716036071428574
0.26732013333333493,0.13366006666666885,0.13366006666666752,0.06683003333333448
0.25061262500000003,0.12530631250000035,0.12530631250000013,0.06265315625000012
0.23587070588235315,0.11793535294117563,0.11793535294117663,0.05896767647058776
0.22276677777777965,0.11138338888888877,0.11138338888888977,0.05569169444444444
0.21104221052631722,0.10552110526315739,0.10552110526315872,0.05276055263157875
0.20049010000000167,0.1002450500000015,0.10024505000000072,0.050122525000000695
0.1909429523809527,0.09547147619047813,0.09547147619047636,0.04773573809523912
0.18226372727272844,0.09113186363636483,0.09113186363636416,0.04556593181818247
0.1743392173913041,0.08716960869565238,0.08716960869565193,0.04358480434782619
0.16707508333333443,0.08353754166666616,0.08353754166666716,0.04176877083333308
0.16039207999999983,0.08019603999999869,0.08019604000000002,0.0400980199999994
0.1542231538461558,0.0771115769230758,0.0771115769230779,0.03855578846153784
0.14851118518518447,0.07425559259259218,0.07425559259259229,0.037127796296296034
0.1432072142857148,0.07160360714285874,0.0716036071428574,0.03580180357142937
0.13826903448276007,0.06913451724137987,0.06913451724137998,0.03456725862068988
0.13366006666666885,0.06683003333333448,0.06683003333333448,0.03341501666666724
