part1_comp1,part1_comp0.5,part0.5_comp1,part0.5_comp0.5
0.993532,0.973732,0.49676600000000004,0.486866
0.978732,0.948932,0.48936599999999997,0.47446599999999994
0.953932,0.914132,0.476966,0.457066
0.9191320000000001,0.869332,0.45956600000000003,0.434666
0.874332,0.814532,0.43716600000000005,0.407266
0.8195319999999999,0.7497319999999998,0.40976599999999996,0.3748659999999999
0.7547320000000001,0.674932,0.3773660000000001,0.33746599999999993
0.6799320000000002,0.5909160000000002,0.3399660000000001,0.2954580000000001
0.5951320000000002,0.5018000000000005,0.297566,0.2509000000000001
0.5018999999999999,0.25297950000000025,0.25095,0.12648975000000018
