part1_comp1,part1_comp0.5,part0.5_comp1,part0.5_comp0.5
0.953932,0.914132,0.476966,0.457066
0.9191320000000001,0.869332,0.45956600000000003,0.434666
0.874332,0.814532,0.43716600000000005,0.407266
0.8195319999999999,0.7497319999999998,0.40976599999999996,0.3748659999999999
0.7547320000000001,0.674932,0.3773660000000001,0.33746599999999993
0.6799320000000002,0.5909160000000002,0.3399660000000001,0.2954580000000001
0.5951320000000002,0.5018000000000005,0.297566,0.2509000000000001
0.5018999999999999,0.4125840000000002,0.25095,0.20629200000000003
0.4084679999999997,0.32826800000000056,0.2042339999999998,0.16413400000000034
0.3232680000000001,0.2530680000000006,0.16163400000000006,0.12653400000000037
0.24806799999999973,0.18786800000000015,0.12403399999999987,0.09393399999999996
0.1828679999999998,0.132668,0.09143400000000002,0.06633400000000012
0.12766800000000045,0.08746800000000043,0.06383400000000017,0.04373400000000016
0.08246800000000021,0.052268000000000425,0.041234000000000215,0.026134000000000213
0.04726799999999998,0.027068000000000203,0.023633999999999933,0.013534000000000046
